class,precision,recall,f1-score,support
heavy_snow,0.0056777856635912,1.0,0.011291460832745237
light_rain_and_snow,0.007352941176470588,1.0,0.014598540145985401
heavy_intensity_drizzle,0.0,0.0,0.0
light_intensity_drizzle,0.01284796573875803,0.14814814814814814,0.023645320197044337
heavy_intensity_rain,0.15207373271889402,0.44594594594594594,0.2268041237113402
very_heavy_rain,0.075,0.5625,0.1323529411764706
overcast_clouds,0.010218978102189781,0.008101851851851851,0.009038089089735312
thunderstorm_with_rain,0.0,0.0,0.0
few_clouds,0.000847457627118644,0.0015290519877675841,0.0010905125408942203
moderate_rain,0.08280254777070063,0.06989247311827956,0.07580174927113702
broken_clouds,0.002331002331002331,0.0008143322475570033,0.0012070006035003018
scattered_clouds,0.09090909090909091,0.0011148272017837235,0.002202643171806167
sky_is_clear,0.05,0.007495590828924162,0.01303680981595092
fog,0.034482758620689655,0.009302325581395349,0.014652014652014652
snow,0.0,0.0,0.0
light_rain,0.0,0.0,0.0
mist,0.058823529411764705,0.0027803521779425394,0.005309734513274336
thunderstorm_with_heavy_rain,0.0,0.0,0.0
dust,1.0,0.25,0.4
haze,0.0,0.0,0.0
thunderstorm,0.0,0.0,0.0
thunderstorm_with_light_rain,0.0,0.0,0.0
proximity_thunderstorm,0.0,0.0,0.0
drizzle,0.0,0.0,0.0
light_snow,0.0,0.0,0.0
