,month,humidity,pressure,temperature,wind,weather
161,spring,50,1019,10,2,broken_clouds
162,spring,58,1019,11,1,light_rain
163,spring,62,1019,11,2,mist
164,spring,66,1019,10,2,light_rain
165,spring,76,1018,11,2,light_rain
166,spring,71,1018,11,1,light_rain
167,spring,71,1017,11,1,overcast_clouds
168,spring,76,1017,11,2,light_rain
169,spring,76,1016,10,2,light_rain
170,spring,76,1017,10,1,light_rain
171,spring,71,1018,10,3,light_rain
172,spring,81,1019,9,4,light_rain
173,spring,87,1019,9,4,light_rain
174,spring,81,1020,9,5,overcast_clouds
175,spring,76,1020,8,3,mist
176,spring,76,1020,7,3,mist
177,spring,76,1020,6,4,mist
178,spring,76,1020,6,4,mist
179,spring,78,1020,6,5,sky_is_clear
180,spring,81,1021,5,5,mist
181,spring,76,1021,5,4,mist
182,spring,81,1022,5,5,fog
183,spring,76,1023,7,4,mist
184,spring,66,1024,9,5,scattered_clouds
185,spring,66,1025,10,3,broken_clouds
186,spring,62,1024,11,2,broken_clouds
187,spring,58,1024,12,0,sky_is_clear
188,spring,54,1024,12,2,overcast_clouds
189,spring,62,1025,11,2,light_rain
190,spring,62,1024,10,2,drizzle
191,spring,62,1025,10,2,overcast_clouds
192,spring,66,1024,10,2,overcast_clouds
193,spring,71,1024,10,4,broken_clouds
194,spring,66,1024,10,3,few_clouds
195,spring,71,1023,10,3,broken_clouds
196,spring,71,1024,9,3,overcast_clouds
197,spring,71,1023,9,3,overcast_clouds
198,spring,76,1023,10,3,light_intensity_drizzle
199,spring,71,1023,10,4,light_rain
200,spring,72,1022,10,4,broken_clouds
201,spring,74,1022,10,4,overcast_clouds
202,spring,76,1022,10,4,overcast_clouds
203,spring,81,1022,10,4,light_intensity_drizzle
204,spring,87,1023,11,4,light_rain
205,spring,87,1022,12,4,light_rain
206,spring,76,1023,13,3,overcast_clouds
207,spring,82,1021,14,6,overcast_clouds
208,spring,82,1021,14,6,mist
209,spring,93,1020,14,6,haze
210,spring,89,1013,15,5,sky_is_clear
211,spring,89,1013,15,5,sky_is_clear
212,spring,89,1013,15,5,sky_is_clear
213,spring,89,1013,15,5,sky_is_clear
214,spring,89,1013,15,5,sky_is_clear
215,spring,89,1013,15,5,sky_is_clear
216,spring,91,1013,15,5,overcast_clouds
217,spring,92,1013,14,6,sky_is_clear
218,spring,100,1017,12,5,moderate_rain
219,spring,100,1016,12,6,drizzle
220,spring,100,1016,12,7,heavy_intensity_drizzle
221,spring,100,1016,12,5,drizzle
222,spring,100,1015,12,6,light_intensity_drizzle
223,spring,93,1015,12,5,mist
224,spring,100,1014,12,3,mist
225,spring,93,1013,13,3,mist
226,spring,87,1014,13,0,overcast_clouds
227,spring,83,1013,14,1,broken_clouds
228,spring,80,1013,16,3,broken_clouds
229,spring,76,1013,17,4,scattered_clouds
230,spring,73,1013,18,6,sky_is_clear
231,spring,73,1013,18,6,sky_is_clear
232,spring,48,1009,18,7,broken_clouds
233,spring,48,1009,16,6,scattered_clouds
234,spring,59,1011,15,0,few_clouds
235,spring,48,1011,15,6,few_clouds
236,spring,51,1011,15,7,scattered_clouds
237,spring,51,1012,15,5,overcast_clouds
238,spring,51,1013,13,8,scattered_clouds
239,spring,50,1014,12,10,few_clouds
240,spring,54,1015,10,6,sky_is_clear
241,spring,54,1016,10,6,few_clouds
242,spring,54,1016,10,7,few_clouds
243,spring,58,1017,9,6,few_clouds
244,spring,53,1018,8,6,sky_is_clear
245,spring,53,1020,8,6,sky_is_clear
246,spring,53,1020,7,6,few_clouds
247,spring,53,1021,9,6,few_clouds
248,spring,53,1022,10,6,few_clouds
249,spring,53,1023,10,7,sky_is_clear
250,spring,46,1023,11,4,sky_is_clear
251,spring,35,1021,14,4,sky_is_clear
252,spring,31,1021,15,4,sky_is_clear
253,spring,33,1021,13,5,sky_is_clear
254,spring,35,1021,12,3,sky_is_clear
255,spring,39,1019,12,3,sky_is_clear
256,spring,44,1017,12,3,sky_is_clear
257,spring,49,1016,13,3,sky_is_clear
258,spring,54,1014,13,4,sky_is_clear
259,spring,58,1013,14,4,sky_is_clear
260,spring,75,1021,6,0,sky_is_clear
261,spring,70,1020,6,3,sky_is_clear
262,spring,75,1020,5,2,sky_is_clear
263,spring,75,1019,5,2,sky_is_clear
264,spring,81,1019,5,2,few_clouds
265,spring,62,1019,7,4,fog
266,spring,58,1019,9,3,scattered_clouds
267,spring,50,1020,11,5,scattered_clouds
268,spring,58,1020,11,8,light_rain
269,spring,62,1021,12,7,overcast_clouds
270,spring,62,1021,13,6,broken_clouds
271,spring,54,1021,12,7,broken_clouds
272,spring,44,1021,13,9,scattered_clouds
273,spring,54,1022,12,9,broken_clouds
