class,precision,recall,f1-score,support
few_clouds,0.03945578231292517,0.0444104134762634,0.04178674351585014
scattered_clouds,0.13238289205702647,0.14492753623188406,0.1383714741883981
broken_clouds,0.10727272727272727,0.09601301871440195,0.1013310433662516
sky_is_clear,0.3022082018927445,0.21119929453262787,0.2486374253828186
overcast_clouds,0.019927536231884056,0.012746234067207415,0.015547703180212012
mist,0.11178861788617886,0.1527777777777778,0.12910798122065728
drizzle,0.05263157894736842,0.022727272727272728,0.031746031746031744
moderate_rain,0.02727272727272727,0.0481283422459893,0.03481624758220503
light_intensity_drizzle,0.047619047619047616,0.0125,0.019801980198019806
light_rain,0.044642857142857144,0.02531645569620253,0.03231017770597738
fog,0.05333333333333334,0.018604651162790697,0.02758620689655172
haze,0.023809523809523808,0.021739130434782608,0.022727272727272724
heavy_snow,1.0,0.08333333333333333,0.15384615384615385
heavy_intensity_drizzle,0.0,0.0,0.0
heavy_intensity_rain,0.0,0.0,0.0
light_rain_and_snow,0.0,0.0,0.0
snow,0.0,0.0,0.0
light_snow,0.014772727272727272,0.17105263157894737,0.027196652719665274
proximity_thunderstorm,0.0,0.0,0.0
thunderstorm,0.0,0.0,0.0
thunderstorm_with_rain,0.0,0.0,0.0
thunderstorm_with_heavy_rain,0.0,0.0,0.0
thunderstorm_with_light_rain,0.0,0.0,0.0
very_heavy_rain,0.9411764705882353,0.9411764705882353,0.9411764705882353
dust,0.0,0.0,0.0
